num_processes,avg_burst_time,std_burst_time,burst_time_cv,min_burst_time,max_burst_time,avg_arrival_gap,total_burst_time,best_algorithm,FCFS_avg_waiting_time,SJF_avg_waiting_time,Priority_avg_waiting_time,RoundRobin_avg_waiting_time
23,4.35,3.6,0.828,1,15,1.0,100,SJF,37.35,18.04,32.52,65.22
14,6.79,6.45,0.95,1,20,1.92,95,SJF,29.86,13.79,21.43,41.29
19,6.63,5.29,0.798,2,16,5.06,126,SJF,24.11,14.32,22.95,45.11
26,7.23,4.75,0.657,2,16,1.72,188,SJF,73.31,43.88,71.15,101.19
27,5.07,4.34,0.855,2,16,3.31,137,SJF,28.26,15.89,28.48,46.41
19,5.37,4.55,0.847,2,17,1.06,102,SJF,43.26,31.79,46.16,57.11
10,4.6,3.63,0.788,1,13,1.67,46,SJF,10.6,6.5,13.6,24.9
20,4.5,3.72,0.827,1,15,2.37,90,SJF,14.2,7.95,15.3,36.7
22,5.82,5.2,0.893,1,19,1.14,128,SJF,50.59,26.55,38.18,67.41
30,5.27,4.53,0.861,1,15,1.93,158,SJF,42.03,22.17,52.03,70.3
16,4.62,3.67,0.793,1,13,1.67,74,SJF,16.81,10.94,18.44,41.0
9,6.0,4.42,0.736,3,13,3.75,54,SJF,15.11,7.89,17.78,25.89
29,5.0,4.16,0.832,1,15,2.93,145,SJF,24.31,13.69,36.31,65.03
8,5.25,3.73,0.711,2,12,4.14,42,SJF,8.12,5.62,8.25,19.0
30,5.73,4.76,0.829,1,17,1.34,172,SJF,59.93,30.9,64.5,94.53
11,4.18,2.36,0.564,3,11,1.5,46,SJF,17.73,11.27,17.27,39.55
5,11.0,5.61,0.51,3,18,5.25,55,SJF,17.8,10.4,15.8,33.0
30,6.2,4.89,0.789,1,18,1.1,186,SJF,68.7,38.9,66.47,106.77
27,6.07,4.32,0.712,1,17,4.08,164,SJF,30.89,15.96,28.11,66.22
24,6.5,5.38,0.828,1,17,4.09,156,SJF,30.21,13.5,27.62,58.67
26,6.58,4.48,0.682,2,15,2.4,171,SJF,52.12,28.73,50.92,90.81
26,7.46,4.78,0.64,1,16,3.16,194,SJF,59.5,36.27,59.65,100.31
25,4.96,3.91,0.788,1,15,3.71,124,SJF,21.52,11.36,28.48,50.76
23,6.26,4.63,0.74,1,15,3.73,144,SJF,24.09,13.17,24.57,54.57
13,7.08,5.59,0.79,2,20,2.67,92,SJF,22.85,13.31,25.54,36.46
19,3.74,1.97,0.527,1,10,2.28,71,SJF,13.21,8.63,15.47,40.05
8,6.75,4.77,0.707,3,16,4.29,54,SJF,12.62,7.12,9.62,21.5
15,7.6,5.7,0.751,2,17,1.29,114,SJF,48.53,29.4,46.73,66.8
17,6.0,4.68,0.78,2,14,1.56,102,SJF,39.82,20.24,39.24,56.12
29,6.93,5.01,0.723,2,19,4.14,201,SJF,39.55,21.21,38.48,89.59
15,4.27,3.86,0.905,1,14,1.21,64,SJF,26.4,14.27,29.27,41.27
24,4.71,3.74,0.793,1,14,0.87,113,SJF,45.5,27.38,48.75,75.08
12,4.5,3.55,0.79,2,12,1.45,54,SJF,22.83,11.58,21.75,39.33
9,5.78,4.87,0.842,2,15,1.0,52,SJF,17.0,9.22,25.33,23.0
16,4.94,4.06,0.822,2,13,1.8,79,SJF,30.0,13.0,30.56,47.81
24,4.96,4.16,0.84,1,17,1.43,119,SJF,38.83,19.75,32.17,77.83
8,4.75,3.41,0.718,2,13,1.86,38,SJF,13.25,7.0,10.12,23.88
20,7.65,5.67,0.741,2,18,1.47,153,SJF,56.45,32.7,65.25,84.55
10,4.3,4.55,1.058,1,17,1.78,43,SJF,15.1,5.1,14.7,23.8
29,6.48,4.99,0.77,1,16,1.79,188,SJF,70.76,35.97,60.0,117.45
16,5.19,3.75,0.722,1,12,2.0,83,SJF,21.81,16.06,22.19,38.44
20,5.5,4.27,0.777,1,13,1.16,110,SJF,46.95,22.75,32.25,62.45
13,6.46,5.29,0.818,2,16,2.08,84,SJF,25.23,14.69,33.54,41.54
22,5.73,4.91,0.857,1,17,3.57,126,SJF,29.27,14.36,36.23,53.05
22,4.09,2.96,0.723,2,14,3.52,90,SJF,7.23,3.73,7.09,33.05
5,3.6,3.21,0.891,1,9,4.0,18,FCFS,0.4,0.4,0.4,1.6
10,8.1,4.68,0.577,3,14,1.67,81,SJF,25.4,21.2,35.3,46.3
